"Uniprots"	"Protein"	"Gene"	"SeqCov"	"Peptides"	"Unique"	"Score"	"Q.value"	"6029"	"6057"	"6096"	"6172"	"6174"	"6195"	"6196"	"6051"	"6211"	"6212"	"nlogP"	"HC.means"	"T1D.means"	"Difference"	"Label"	"Entrez"	"Entrez.2"
"A0A075B6F6;Q8TCT9-5;Q8TCT9;Q8TCT9-4;Q8TCT9-2"	"Minor histocompatibility antigen H13"	"HM13"	11.4	6	6	12.874	0	58451	49287	48116	55659	44808	82769	69108	59484	24909	61108	0.144598668772492	51264.2	59475.6	0.214346239537365	"Not significant (adj.p > 0.05)"	"81502"	NA
"A0A075B797;M0R3B2;A0A075B6F9;Q9Y314;M0R1K2"	"Nitric oxide synthase-interacting protein"	"NOSIP"	11.6	2	2	6.4528	0	8004.7	4930	6758.7	10117	6313.2	9597.8	11587	10168	6025.8	8872.3	0.793990346806465	7224.72	9250.18	0.356539763564427	"Not significant (adj.p > 0.05)"	"51070"	NA
"A0A075B6I8;P01700"	"Ig lambda chain V-I region HA"	"IGLV1-47"	23.9	5	2	6.3799	0	3504.5	3697.8	5825.2	2932.3	3949.3	4368.3	6547.7	36632	4033.1	6417	1.41219173212231	3981.82	11599.62	1.54257763392526	"Not significant (adj.p > 0.05)"	"28822"	NA
"A0A075B6J4;A0A075B6K0;A0A075B6J3"	""	"IGLV3-25;IGLV3-16;IGLV3-27"	19.6	5	4	8.1467	0	728.35	670.38	1376.8	418.96	868.84	1219.2	1585.1	12964	1186.1	2020.2	2.20970061309199	812.666	3794.92	2.22333503104703	"Not significant (adj.p > 0.05)"	"28793"	"28799"
"A0A075B6J7"	""	"IGLV3-21"	30.8	5	3	11.073	0	7507.5	8929.5	15604	6978.9	12137	7045.5	10282	8184.7	7302.4	7221.1	0.593869327261102	10231.38	8007.14	-0.353641811526753	"Not significant (adj.p > 0.05)"	"28796"	NA
"A0A075B6L0;A0A075B6K9;P0CG06;P0CG05;P0CF74"	"Ig lambda-3 chain C regions;Ig lambda-2 chain C regions;Ig lambda-6 chain C region"	"IGLC3;IGLC2;IGLC6"	82.1	19	2	60.719	0	54756	54540	72731	61156	58660	58536	78463	296130	39770	66826	0.541222697089709	60368.6	107945	0.838426170132923	"Not significant (adj.p > 0.05)"	"3539"	"3538"
"A0A075B730;A0A087X1U6;P58107"	"Epiplakin"	"EPPK1"	20.5	29	22	89.569	0	108770	43522	61944	93943	62085	75471	98604	101650	56467	100500	0.438010475693567	74052.8	86538.4	0.224786161074502	"Not significant (adj.p > 0.05)"	"83481"	NA
"A0A075B746;P82921"	"28S ribosomal protein S21, mitochondrial"	"MRPS21"	14.9	1	1	3.3013	0.00077866	7629.7	3088.1	2219.9	7083.2	7408.9	6303.8	4106.2	4050.7	2095	6905.2	0.15805526692334	5485.96	4692.18	-0.225485744382486	"Not significant (adj.p > 0.05)"	"54460"	NA
"E9PKH0;M3ZCP1;A0A075B788;X6R433;A0A0A0MT22;P08575-2;P08575"	"Receptor-type tyrosine-protein phosphatase C"	"PTPRC"	4.2	2	2	4.0424	0.00061792	5286.2	3330.1	3707.8	5911.5	3813.7	5289.5	3504.6	6050.6	1445.9	5728.6	0.132735075796775	4409.86	4403.84	-0.00197080125185786	"Not significant (adj.p > 0.05)"	"5788"	NA
"A0A087WT45;A0A075B793;Q4V328-4;Q4V328;Q4V328-2;Q4V328-3"	"GRIP1-associated protein 1"	"GRIPAP1"	17.1	14	14	37.435	0	24548	21741	26008	22499	30595	25194	30337	32280	16363	29388	0.0856779131641124	25078.2	26712.4	0.0910758003333968	"Not significant (adj.p > 0.05)"	"56850"	NA
"A0A075B7B1;O15061-2;O15061;H0YL34"	"Synemin"	"SYNM"	5.2	6	6	21.837	0	18742	18514	15682	14097	19540	13860	12887	13034	8695	22169	0.738545191416109	17315	14129	-0.29336302703626	"Not significant (adj.p > 0.05)"	"23336"	NA
"A0A075B7D6"	""	"TAF15"	56.2	2	2	4.8462	0.00043403	11801	12037	13801	8013	13971	7561.3	8971.9	5471	5391.6	10526	1.88834183985875	11924.6	7584.36	-0.652841523049647	"Not significant (adj.p > 0.05)"	"8148"	NA
"A0A075B7F2"	""	"TAF15"	7.5	2	2	24.547	0	1055.6	1205.2	1182.9	1462.2	1683.1	1377.8	1540	1428.7	703.36	1713.5	0.00437366074835294	1317.8	1352.672	0.0376806207853845	"Not significant (adj.p > 0.05)"	"8148"	NA
"A0A075B7F8;A8CG34;Q96HA1"	"Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121"	"POM121C;POM121"	6.4	7	7	43.508	0	13520	11184	12415	7210.6	17258	10021	21059	8900.6	12298	17214	0.195779292119368	12317.52	13898.52	0.174219449914419	"Not significant (adj.p > 0.05)"	"100101267"	"9883"
"V9HW75;A0A087WSV8;P80303-2;P80303;E9PKG6;Q2L696"	"Nucleobindin-2;Nesfatin-1"	"HEL-S-109;NUCB2;DCAF5;Nucb2"	58.8	55	54	323.31	0	509590	455890	339880	411640	498360	460240	490680	345030	246500	315300	0.59025248640598	443072	371550	-0.253984789074471	"Not significant (adj.p > 0.05)"	"4925"	"8816"
"A0A087WSW9;A0A087WSY9;Q16881-4;Q16881-3;Q16881;E9PIR7;F8W809;E9PNQ6;Q16881-5;Q16881-2;Q16881-6;E2QRB9;Q16881-7;E9PKD3"	"Thioredoxin reductase 1, cytoplasmic"	"TXNRD1;GML"	29	14	12	33.257	0	39977	33128	34291	41393	39523	33877	38378	36885	23498	34271	0.390712989605511	37662.4	33381.8	-0.174063188007131	"Not significant (adj.p > 0.05)"	"7296"	"2765"
"K7ERP4;A0A087X2I2;A0A087WT12;P36969-2;P36969;K7EJ20;R4GNE4;K7ENB4;K7EKX7"	"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial"	"GPX4"	38.1	8	8	27.026	0	29431	22551	29324	37222	32228	33109	49036	39127	38374	36845	1.09266656593002	30151.2	39298.2	0.382247811654312	"Not significant (adj.p > 0.05)"	"2879"	NA
"A0A087WT38;Q96I51-2;Q96I51-3;Q96I51"	"Williams-Beuren syndrome chromosomal region 16 protein"	"WBSCR16"	19.6	2	2	7.5446	0	3603.9	2214.5	1786.3	3935.1	1727.2	3913.5	2401.3	3671.7	816.77	4233.9	0.0448760297378312	2653.4	3007.434	0.180690898701897	"Not significant (adj.p > 0.05)"	"81554"	NA
"A0A087WT44;P30519;I3L159;I3L1F5;P30519-2"	"Heme oxygenase 2"	"HMOX2"	23.5	10	10	24.315	0	15043	13684	15898	25280	17489	20318	16712	20398	8736.6	18768	0.0824636740021204	17478.8	16986.52	-0.0412158203206033	"Not significant (adj.p > 0.05)"	"3163"	NA
"A0A087WTA8;P08123"	"Collagen alpha-2(I) chain"	"COL1A2"	15	46	46	323.31	0	146810	220980	343100	152900	293960	99036	447760	271330	145660	178110	0.127828466831186	231550	228379.2	-0.0198924961102237	"Not significant (adj.p > 0.05)"	"1278"	NA
"Q5T985;A0A087WTE1;P19823;Q5T987"	"Inter-alpha-trypsin inhibitor heavy chain H2"	"ITIH2"	10.1	11	11	25.042	0	32192	33551	34869	41527	28629	28770	35212	53960	22278	38178	0.0121719418747608	34153.6	35679.6	0.0630617859742513	"Not significant (adj.p > 0.05)"	"3698"	NA
"A0A087WTL2;Q9P291"	"Armadillo repeat-containing X-linked protein 1"	"ARMCX1"	11.5	4	4	8.1985	0	17428	11364	17668	5736.8	26133	3263.8	7584.3	3419.4	3318.4	9365	3.22859263062342	15665.96	5390.18	-1.53922782350526	"Significant"	"51309"	NA
"A0A087WTL4;A0A087WX97;Q9BXK5-2;Q9BXK5;E9PDD6"	"Bcl-2-like protein 13"	"BCL2L13"	10	5	5	13.978	0	31582	12994	16843	43031	21809	41651	37831	43550	14829	41064	0.850361225235456	25251.8	35785	0.502968749868752	"Not significant (adj.p > 0.05)"	"23786"	NA
"A0A087WTP3;Q92945;M0R0I5"	"Far upstream element-binding protein 2"	"KHSRP"	31.9	26	25	323.31	0	138970	114180	136700	133820	159210	122260	209670	178020	110460	152700	0.25588251698704	136576	154622	0.179041617692871	"Not significant (adj.p > 0.05)"	"8570"	NA
"E7EQ49;A0A087WTQ2;Q9Y2I8-3;Q9Y2I8;Q9Y2I8-2;C9JGR9"	"WD repeat-containing protein 37"	"WDR37"	30.1	7	7	35.424	0	26143	18726	20951	22670	22417	28564	31473	32463	14996	28190	0.480430635913452	22181.4	27137.2	0.290921446595007	"Not significant (adj.p > 0.05)"	"22884"	NA
"A0A087X0S7;A0A087WTU1;Q15345-3;Q15345"	"Leucine-rich repeat-containing protein 41"	"LRRC41"	6.1	2	2	31.839	0	871.09	199.62	215.46	222.35	269.56	134.8	196.74	242.44	520.73	535.69	0.0448760297378312	355.616	326.08	-0.125094279253693	"Not significant (adj.p > 0.05)"	"10489"	NA
"A0A087WTV1;Q9H1P3-2;Q9H1P3"	"Oxysterol-binding protein-related protein 2"	"OSBPL2"	7.2	2	2	8.7559	0	6882.8	6418.2	6034.9	3379.1	5456.2	8056.5	19595	13365	9683.2	11924	3.48396734911655	5634.24	12524.74	1.15248773077481	"Significant"	"9885"	NA
"A0A087WTV6;J3KR12"	""	""	34.1	11	1	29.387	0	44117	37978	41446	33334	52322	37859	76758	53594	52991	60709	1.06262403632263	41839.4	56382.2	0.430377609418268	"Not significant (adj.p > 0.05)"	NA	NA
"A0A087WTX2;Q92504;A2AAT0"	"Zinc transporter SLC39A7"	"SLC39A7"	5.8	4	4	12.695	0	40878	24424	21264	42337	45834	22209	22958	15044	7572.3	31779	1.79598011480635	34947.4	19912.46	-0.811513662976945	"Not significant (adj.p > 0.05)"	"7922"	NA
"A0A087WTX5;A0A087WYL9;A0A087WWV8;A0A087WZW8;A0A087X130;P01834;A0A075B6H6"	"Ig kappa chain C region"	"IGKC"	55.1	34	31	323.31	0	176780	177700	214890	234430	182340	180300	205320	723270	107240	192920	0.181141123165233	197228	281810	0.514858424134733	"Not significant (adj.p > 0.05)"	"3514"	NA
"A0A087WWB5;A0A087WU06;Q96CW5-3;Q96CW5-2;Q96CW5"	"Gamma-tubulin complex component 3"	"TUBGCP3"	4.6	2	2	33.669	0	10786	8886	8224.7	10370	10320	9481.2	13081	19336	8688.8	15202	0.874416318770274	9717.34	13157.8	0.43728493558403	"Not significant (adj.p > 0.05)"	"10426"	NA
"Q13030;E9PH25;E7EQF3;E9PD10;A0A087WU29;P02724-3;P02724-2;P02724"	"Glycophorin-A"	"GPErik;GYPA"	15.3	1	1	4.0301	0.00061767	2399.2	6094	3584.8	1860.3	4310.3	2096.9	4075.1	2534.9	2548.1	3217.2	0.347373307263522	3649.72	2894.44	-0.334501536574741	"Not significant (adj.p > 0.05)"	"2993"	NA
"A0A087WU53;Q9H0U3"	"Magnesium transporter protein 1"	"MAGT1"	10.6	4	4	5.5618	0	17484	10496	13815	26943	13852	34101	18989	14204	6757.9	14804	0.00676999858913151	16518	17771.18	0.105500463214871	"Not significant (adj.p > 0.05)"	"84061"	NA
"A0A087WU62;A0A087X2D5;Q9BRJ2"	"39S ribosomal protein L45, mitochondrial"	"MRPL45"	19.1	6	6	12.308	0	41740	31337	31447	41663	38176	39901	27907	44795	14337	41462	0.33154476689127	36872.6	33680.4	-0.130639876418172	"Not significant (adj.p > 0.05)"	"84311"	NA
"A0A087WUA5;Q9H223"	"EH domain-containing protein 4"	"EHD4"	40.2	31	26	323.31	0	156090	102920	142300	138460	137790	184380	211830	150350	107050	163430	0.503981212021217	135512	163408	0.270058003266268	"Not significant (adj.p > 0.05)"	"30844"	NA
"A0A087WUB9;Q8WYA6-4;Q8WYA6;Q8WYA6-3;Q8WYA6-2"	"Beta-catenin-like protein 1"	"CTNNBL1"	14.1	11	11	55.084	0	41211	29477	38351	38727	40335	43953	49701	52746	34515	57603	0.846367767815181	37620.2	47703.6	0.342590626095994	"Not significant (adj.p > 0.05)"	"56259"	NA
"A0A087WUC6;Q15005;E9PI68;E9PL01;E9PRB9"	"Signal peptidase complex subunit 2"	"SPCS2"	50.7	25	25	100.72	0	156800	98986	109240	125880	147570	190860	183830	156430	72985	119900	0.15805526692334	127695.2	144801	0.181367269890099	"Not significant (adj.p > 0.05)"	"9789"	NA
"A0A087WUD1;Q6DD87"	"Zinc finger protein 787"	"ZNF787"	22.5	6	6	66.094	0	11881	13248	13295	11535	17448	10187	18601	11895	12499	12796	0.0584042328337163	13481.4	13195.6	-0.0309133724668771	"Not significant (adj.p > 0.05)"	"126208"	NA
"A0A087WUD3;Q9NRP0;Q9NRP0-2"	"Oligosaccharyltransferase complex subunit OSTC"	"OSTC"	15.7	4	4	6.142	0	7446.4	2677	4149.2	7882.9	3807.9	10039	7514.3	12021	3209.3	8415.9	1.1033190300378	5192.68	8239.9	0.666147507088379	"Not significant (adj.p > 0.05)"	"58505"	NA
"A0A087WUH0;R4GMW8;P28715;P28715-2"	"DNA repair protein complementing XP-G cells"	"BIVM-ERCC5;ERCC5"	1.5	2	2	3.7556	0.00060314	5743.7	6146.5	7329.4	5225	8889.1	5495.7	18853	15640	11420	9630.7	1.80248373494807	6666.74	12207.88	0.872759317234458	"Not significant (adj.p > 0.05)"	"100533467"	"2073"
"J3QTS8;A0A087WUI4;A0A087X1U0;Q15661-2;Q15661;P20231"	"Tryptase alpha/beta-1;Tryptase beta-2"	"TPSAB1;TPSB2"	35.8	21	17	77.207	0	70685	64467	85574	84281	101740	127530	126590	236660	54308	106060	1.04595591565742	81349.4	130229.6	0.678853786876579	"Not significant (adj.p > 0.05)"	"7177"	"64499"
"A0A087WUK0;Q2M2I8-2;Q2M2I8;E9PG46"	"AP2-associated protein kinase 1"	"AAK1"	15.3	9	7	32.593	0	60974	52003	55592	56119	60411	45441	45791	63991	30529	66692	0.436121466718247	57019.8	50488.8	-0.175499590625325	"Not significant (adj.p > 0.05)"	"22848"	NA
"A0A087WUK2;O14979-3;O14979-2;O14979"	"Heterogeneous nuclear ribonucleoprotein D-like"	"HNRNPDL"	27	14	12	129.89	0	117740	83231	119260	159550	112350	112190	191320	146690	92842	137650	0.312315510841398	118426.2	136138.4	0.201085768647998	"Not significant (adj.p > 0.05)"	"9987"	NA
"A0A087WUL0;Q3LXA3;H0YCY6;Q3LXA3-2"	"Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing)"	"DAK"	41.5	30	30	91.521	0	111120	85127	89742	125250	102560	106630	136700	164340	66525	118980	0.250305290808203	102759.8	118635	0.207253712791922	"Not significant (adj.p > 0.05)"	"26007"	NA
"A0A087WZG9;B4DSP0;A0A087WXK2;A0A087WUL4;A0A087WX23;Q86TG7-2;Q86TG7;A0A087WYS2"	"Retrotransposon-derived protein PEG10"	"hCG_1642748;PEG10"	6.7	2	2	3.2116	0.00077027	1541.8	1609.2	2765.8	1379.7	3489.7	1470.2	2210.6	2056.5	1828.2	2095.9	0.0861990215657332	2157.24	1932.28	-0.158882524703693	"Not significant (adj.p > 0.05)"	"23089"	NA
"A0A087WUM0;P57105;A0A087X1F5;A0A087WYV9"	"Synaptojanin-2-binding protein"	"SYNJ2BP"	32.3	9	9	22.054	0	45070	28168	35186	48263	32013	47086	32763	30535	19869	50416	0.142597736514947	37740	36133.8	-0.0627454396079087	"Not significant (adj.p > 0.05)"	"55333"	NA
"Q9UDT1;A0A087WUU0;A0A087WUP8;Q6NTF9;Q6NTF9-2"	"Rhomboid domain-containing protein 2"	"WUGSC:H_RG122E10.2a;RHBDD2"	17.7	2	2	4.0627	0.0006192	17099	9668.1	13885	14563	13262	23067	19288	20520	7967.5	14789	0.398479307821818	13695.42	17126.3	0.322519992252462	"Not significant (adj.p > 0.05)"	"57414"	NA
"A0A087WUQ1;E5RGS7;H0YBP7;B3KPU0;C9JS55;H7C1D1;A0A087WVI1;Q96JY6-4;Q96JY6;Q96JY6-3;Q96JY6-5"	"PDZ and LIM domain protein 2"	"PDLIM2"	15.3	2	2	2.8011	0.0022214	4414.5	4408.2	4520.7	5175.5	4481.9	4317.3	7462.3	5167.4	4986.6	5133	0.468325094253195	4600.16	5413.32	0.23482963225482	"Not significant (adj.p > 0.05)"	"64236"	NA
"A0A087WUQ6;P07203"	"Glutathione peroxidase 1"	"GPX1"	56.9	17	17	126.24	0	91226	61590	66401	91164	76503	110010	110590	151220	63033	144570	1.35528622439357	77376.8	115884.6	0.582715887212224	"Not significant (adj.p > 0.05)"	"2876"	NA
"E7ETK0;A0A087WUS0;P62847-2;P62847-3;P62847;P62847-4"	"40S ribosomal protein S24"	"RPS24"	35.1	13	13	17.799	0	47465	32831	31494	41566	38848	38090	101790	59449	46190	48128	1.30487071924373	38440.8	58729.4	0.611444538165733	"Not significant (adj.p > 0.05)"	"6229"	NA
"A0A087WUT6;O60841"	"Eukaryotic translation initiation factor 5B"	"EIF5B"	24.3	35	35	148.25	0	142310	93446	111190	108220	151850	121350	160740	120490	79387	116800	0.0398959736235036	121403.2	119753.4	-0.0197398322214459	"Not significant (adj.p > 0.05)"	"9669"	NA
"A0A087WUW5"	""	""	68.3	9	3	10.685	0	6891.6	3564.4	4299.3	3345.2	5948.9	6727.1	9921.4	3890.7	9641.7	7811.8	1.45634206521644	4809.88	7598.54	0.659721341466939	"Not significant (adj.p > 0.05)"	NA	NA
"A0A087WV30;C9J2V2;C9JN51;A0A087X0G7;A0A087WUW6;A0A087X1B1;Q9Y6K9;Q9Y6K9-2;C9JH59;Q9Y6K9-3"	"NF-kappa-B essential modulator"	"IKBKG"	24.3	2	2	7.9853	0	14046	17629	12644	17996	16258	13970	11430	16273	8873.9	14096	0.687187348401699	15714.6	12928.58	-0.281541723571154	"Not significant (adj.p > 0.05)"	"8517"	NA
"A0A087WV05;Q99417"	"C-Myc-binding protein"	"MYCBP"	33.6	6	6	22.859	0	33266	27579	35407	20283	32790	41635	51851	39373	23857	46079	0.983853811824319	29865	40559	0.441566360718834	"Not significant (adj.p > 0.05)"	"26292"	NA
"A0A0A0MSA0;A0A087WV15;Q16787-3;Q16787"	"Laminin subunit alpha-3"	"LAMA3"	1.6	4	3	7.3297	0	4352.7	4052	5289.5	4298	4517.1	3352.7	4727.4	3875.7	3316.7	4990.4	0.331808568926464	4501.86	4052.58	-0.151680526627058	"Not significant (adj.p > 0.05)"	"3909"	NA
"F8WER1;H7BZF7;A0A087WV24;P20711-2;P20711-3;P20711"	"Aromatic-L-amino-acid decarboxylase"	"DDC"	7.9	2	2	2.2714	0.0049418	2188.1	1881.8	2266.9	1554.7	2074	5851.8	11092	10546	4785.6	10523	7.6292032223466	1993.1	8559.68	2.10254276662202	"Significant large difference"	"1644"	NA
"A0A087WV25;O95684-2;O95684"	"FGFR1 oncogene partner"	"FGFR1OP"	7.1	2	1	8.0418	0	8115.7	6189.3	7259	6480.8	7429.9	6400.6	8380.9	5486.2	5322.6	6545.9	0.298730454925773	7094.94	6427.24	-0.14259113870067	"Not significant (adj.p > 0.05)"	"11116"	NA
"A0A087WV47;A0A087X010;A0A0A0MS08;P01857;A0A0A0MS07"	"Ig gamma-1 chain C region"	"IGHG1"	45.3	63	1	323.31	0	326070	315520	358170	482300	349450	352520	406830	1138000	247800	356980	0.301320126118554	366302	500426	0.450123169582612	"Not significant (adj.p > 0.05)"	"3500"	NA
"A0A087WV52;Q9NP92"	"28S ribosomal protein S30, mitochondrial"	"MRPS30"	10.4	4	4	71.088	0	7914.3	10689	10671	9456.1	12010	8476.5	12030	10507	10918	13378	0.208499116944869	10148.08	11061.9	0.124392407500869	"Not significant (adj.p > 0.05)"	"10884"	NA
"A0A087WV73;P46087-2;P46087;P46087-4;P46087-3"	"Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase"	"NOP2"	9.4	7	7	26.258	0	21994	19766	22552	24466	25452	23591	36086	32613	22047	31459	0.854080695541696	22846	29159.2	0.352009546389562	"Not significant (adj.p > 0.05)"	"4839"	NA
"I3L405;I3L261;I3L1D2;J3QS48;I3L295;J3KTK8;J3QQZ4;J3KT75;J3QW43;J3QRD5;Q9H3L2;Q1HDL3;A0A087WV81;O75352-2;O75352;I3L4T1"	"Mannose-P-dolichol utilization defect 1 protein"	"MPDU1;HBEBP2BPA"	53.7	3	3	8.3692	0	6373.5	3129.2	4538.3	5762.2	4820.6	4355	5793	5438.4	2317.4	7774.7	0.00440730230525775	4924.76	5135.7	0.0605075114936358	"Not significant (adj.p > 0.05)"	"9526"	NA
"A0A087WV97;Q8WU79-2;Q8WU79;X6RCC3;Q8WU79-3"	"Stromal membrane-associated protein 2"	"SMAP2"	15.1	6	6	9.1319	0	4262.3	3659.7	3474.6	3669.6	4587.7	6091.1	3309.5	3763.8	2092.1	3685.2	0.175802910009132	3930.78	3788.34	-0.053249803334561	"Not significant (adj.p > 0.05)"	"64744"	NA
"A0A087WVA8;Q8IWB9;Q8IWB9-2;J3KRZ8"	"Testis-expressed sequence 2 protein"	"TEX2"	2.9	3	3	5.6148	0	3833.7	2797.1	3110.5	7421.5	2981.5	5000	2752.3	3616.1	1820.3	3782.4	0.287404564155444	4028.86	3394.22	-0.247291596004485	"Not significant (adj.p > 0.05)"	"55852"	NA
"A0A087WVC1;A0A087WVB0;Q9BQ39"	"ATP-dependent RNA helicase DDX50"	"DDX50"	8.1	8	4	3.35	0.0007814	19331	16159	14408	14925	18133	12703	11069	13600	6369.7	14948	1.45495816315425	16591.2	11737.94	-0.499238997867297	"Not significant (adj.p > 0.05)"	"79009"	NA
"A0A087WVD1;Q96B70"	"Leukocyte receptor cluster member 9"	"LENG9"	5.9	2	2	15.961	0	3932.2	3621.1	4169.8	9014.1	3134.3	5584.9	4727	8158.9	3052.4	7459.6	0.445373617566852	4774.3	5796.56	0.279907755902942	"Not significant (adj.p > 0.05)"	"94059"	NA
"A0A087WVD4;Q9HBK9-2;Q9HBK9"	"Arsenite methyltransferase"	"AS3MT"	3	1	1	1.8987	0.0082924	9925.7	5259.5	7213.8	10243	7607.3	7648.6	23631	12637	9992.1	10164	1.29223813154396	8049.86	12814.54	0.67074609376073	"Not significant (adj.p > 0.05)"	"57412"	NA
"A0A087WVF7;Q9NZM3-4;Q9NZM3-3;Q9NZM3-2;Q9NZM3;E7EPJ2"	"Intersectin-2"	"ITSN2"	2.6	4	3	6.4625	0	14829	10896	11030	9732.7	16526	5691.1	10444	8959.2	5034.5	8424	2.04433320298663	12602.74	7710.56	-0.708829879903857	"Not significant (adj.p > 0.05)"	"50618"	NA
"A0A087WVG2;Q5U651"	"Ras-interacting protein 1"	"RASIP1"	4.3	3	3	5.6551	0	4915.2	3897.3	5139.2	3765.9	6581.7	4760.1	6283.6	5052.4	5218	6365.3	0.422412848441024	4859.86	5535.88	0.187897916228298	"Not significant (adj.p > 0.05)"	"54922"	NA
"A0A087WVI4;Q7Z404-1"	"Transmembrane channel-like protein 4"	"TMC4"	7.5	5	5	19.129	0	15657	10147	17462	19416	13906	17421	14688	16758	8613.7	14943	0.115600546218459	15317.6	14484.74	-0.0806564813183185	"Not significant (adj.p > 0.05)"	"147798"	NA
"A0A087WVJ0;B1AVQ7;A0A0A0MRB3;A0A0A0MSH4;A0A087X2A4;A0A087WWM1;P15941-7;P15941-17;P15941-11;P15941-8;P15941-4;P15941-3;P15941;P15941-2;A0A087X0L2;P15941-15;P15941-6;A6ZIE4;A6ZIE3;P15941-12;P15941-16;P15941-9;P15941-10"	"Mucin-1;Mucin-1 subunit alpha;Mucin-1 subunit beta"	"MUC1"	20.6	5	5	16.378	0	42391	24236	53313	35780	52640	31236	47907	31234	28899	37441	0.341052624165233	41672	35343.4	-0.237637509804775	"Not significant (adj.p > 0.05)"	"4582"	NA
"A0A087WVM4;B7ZM99;Q6UB35"	"Monofunctional C1-tetrahydrofolate synthase, mitochondrial"	"MTHFD1L"	5.6	5	4	4.8735	0.00043497	4739.3	3581.6	5227.4	7007.9	6292.1	4338.9	4179.9	3181.3	2013.9	4254.9	1.4846468923283	5369.66	3593.78	-0.579328647237363	"Not significant (adj.p > 0.05)"	"25902"	NA
